stem lastidx maxmach tjump pjump auto olddat user
ddt1d_ta16255_tm21049_rd00313 30 0.1203 1.9877 1.4371 0 1 0
ddt1d_ta18033_tm22569_rd00375 19 1.0410 2.5893 6.8639 1 1 1
ddt1d_ta19243_tm22844_rd00563 5 1.1161 2.3593 6.2645 1 1 1
ddt1d_ta15778_tm20098_rd00500 40 1.1513 3.1153 8.2659 1 1 1
ddt1d_ta16756_tm20304_rd00438 30 0.2058 1.9795 1.4290 0 1 0
ddt1d_ta16171_tm22057_rd00406 40 0.0958 1.9467 1.2695 0 1 0
ddt1d_ta17725_tm21317_rd00313 23 1.0956 2.8993 8.6218 1 1 1
ddt1d_ta19208_tm22793_rd00344 5 0.8925 2.4884 6.3366 1 1 1
ddt1d_ta17533_tm21307_rd00438 37 0.6022 1.8821 1.5878 0 1 0
ddt1d_ta17629_tm21338_rd00438 29 0.9606 2.7797 8.4725 1 1 1
ddt1d_ta18422_tm22510_rd00313 8 0.9971 2.5018 6.2535 1 1 1
ddt1d_ta17249_tm21279_rd00844 40 0.0914 1.9207 1.2705 0 1 0
ddt1d_ta16579_tm20560_rd00344 39 0.8833 2.5352 4.5259 1 1 0
ddt1d_ta16032_tm20342_rd00344 40 0.0679 1.7900 1.1957 0 1 0
ddt1d_ta17695_tm21822_rd00656 11 1.0639 2.5968 7.2998 1 1 1
ddt1d_ta14895_tm20509_rd00469 40 0.0700 1.5837 1.2145 0 1 0
ddt1d_ta17290_tm21305_rd00438 32 1.2488 3.0655 9.2331 1 1 1
ddt1d_ta17465_tm21512_rd00438 23 0.9271 2.3317 5.0830 1 1 1
ddt1d_ta18209_tm22547_rd00313 8 1.1009 2.4882 6.4063 1 1 1
ddt1d_ta19227_tm22846_rd00313 11 1.0682 2.4636 6.2262 1 1 1
ddt1d_ta19316_tm22750_rd00375 11 1.0658 2.4410 6.2972 1 1 1
ddt1d_ta17743_tm21291_rd00594 13 0.9321 2.3111 5.4608 1 1 1
ddt1d_ta18650_tm22600_rd00688 9 1.0881 2.3937 5.7699 1 1 1
ddt1d_ta17521_tm21333_rd00344 16 1.1096 2.5667 5.8521 1 1 1
ddt1d_ta16807_tm20764_rd00313 40 0.1389 1.8697 1.3062 0 1 0
ddt1d_ta18813_tm22770_rd00344 6 0.9952 2.4308 5.2048 1 1 1
ddt1d_ta16657_tm20572_rd00406 31 1.0531 2.8067 6.0776 1 1 1
ddt1d_ta18132_tm21808_rd00313 16 1.1520 3.0108 9.8459 1 1 1
ddt1d_ta16083_tm20279_rd00313 40 0.1326 2.0455 1.3391 0 1 0
ddt1d_ta17013_tm21085_rd00313 31 1.2007 2.8533 8.3407 1 1 1
ddt1d_ta15051_tm20339_rd00313 40 0.0646 2.0816 1.2465 0 1 0
ddt1d_ta14021_tm22319_rd00313 40 0.0801 2.2519 1.2128 0 1 0
ddt1d_ta14591_tm20335_rd00313 40 0.1272 2.1666 1.3662 0 1 0
ddt1d_ta18412_tm22536_rd00375 17 0.9120 2.6439 7.3888 1 1 1
ddt1d_ta17920_tm22086_rd00438 9 1.0599 2.6404 6.1617 1 1 1
ddt1d_ta18368_tm22584_rd00438 11 1.1179 2.5947 6.6499 1 1 1
ddt1d_ta17255_tm21063_rd00375 34 1.2511 2.7555 8.4914 1 1 1
ddt1d_ta18598_tm22523_rd00406 9 1.2293 2.7306 8.6173 1 1 1
ddt1d_ta16610_tm20562_rd00375 40 0.2713 1.9329 1.4833 0 1 0
ddt1d_ta17427_tm21013_rd00313 40 0.3081 1.8183 1.4477 0 1 0
ddt1d_ta18841_tm22508_rd00344 9 1.0377 2.4649 6.1226 1 1 1
ddt1d_ta14946_tm21327_rd00313 30 0.1295 2.1673 1.3673 0 0 0
ddt1d_ta17857_tm21780_rd00344 15 1.2068 2.7234 7.1473 1 1 1
ddt1d_ta16630_tm20503_rd00469 40 0.5931 1.9024 1.5483 0 1 0
ddt1d_ta19243_tm22791_rd00594 5 1.1085 2.4319 7.7529 1 1 1
ddt1d_ta17487_tm22771_rd00313 6 1.0862 2.7317 6.8162 1 1 1
ddt1d_ta17726_tm21544_rd00313 15 0.9020 2.7301 7.9728 1 1 1
ddt1d_ta17964_tm22008_rd00594 7 1.1271 2.5244 6.7303 1 1 1
ddt1d_ta16674_tm21539_rd00313 40 0.1323 1.9316 1.5260 0 1 0
ddt1d_ta17119_tm22548_rd00344 16 1.2509 3.1280 9.1820 1 1 1
